codigo_peca;descricao_original;nome_peca;categoria;marca_fabricante;modelo_moto;preco;quantidade_estoque;quantidade_minima;status
100;SUPORTE MEIA LUA CAV CENTRAL TITAN125 99;SUPORTE MEIA LUA CAV CENTRAL TITAN125 99;ACESSÓRIO;NÃO IDENTIFICADO;TITAN125;3.15;83;8;DISPONIVEL
10006;JOGO JUNTA BIZ125 S/BORR;JOGO JUNTA BIZ125 S/BORR;MOTOR;NÃO IDENTIFICADO;BIZ125;18.37;32;12;DISPONIVEL
10009;JUNTA CILINDRO BIZ125;JUNTA CILINDRO BIZ125;MOTOR;NÃO IDENTIFICADO;BIZ125;1.93;40;14;DISPONIVEL
10011;JUNTA TAMPA CABECOTE LE BIZ125;JUNTA TAMPA CABECOTE LE BIZ125;MOTOR;NÃO IDENTIFICADO;BIZ125;3.20;97;20;DISPONIVEL
10012;JUNTA TAMPA LAT LD BIZ125;JUNTA TAMPA LAT LD BIZ125;MOTOR;NÃO IDENTIFICADO;BIZ125;7.65;97;19;DISPONIVEL
10013;JUNTA TAMPA LAT LE BIZ125;JUNTA TAMPA LAT LE BIZ125;MOTOR;NÃO IDENTIFICADO;BIZ125;4.17;88;3;DISPONIVEL
10014;JOGO JUNTA FAZER/LANDER250 S/BORR;JOGO JUNTA FAZER/LANDER250 S/BORR;MOTOR;NÃO IDENTIFICADO;LANDER250;50.25;35;15;DISPONIVEL
10015;JUNTA CABECOTE FAZER/LANDER250;JUNTA CABECOTE FAZER/LANDER250;MOTOR;NÃO IDENTIFICADO;LANDER250;19.72;45;19;DISPONIVEL
10016;JUNTA CILINDRO FAZER/LANDER250;JUNTA CILINDRO FAZER/LANDER250;MOTOR;NÃO IDENTIFICADO;LANDER250;3.63;29;9;DISPONIVEL
10062;ESTICADOR CORRENTE BIZ100-125/POP100-110;ESTICADOR CORRENTE BIZ100-125/POP100-110;RELAÇÃO/TRANSMISSÃO;NÃO IDENTIFICADO;BIZ100 / POP100;3.42;22;9;DISPONIVEL
10064;ESTICADOR CORRENTE CBX/XR250;ESTICADOR CORRENTE CBX/XR250;RELAÇÃO/TRANSMISSÃO;NÃO IDENTIFICADO;NÃO IDENTIFICADO;10.66;58;4;DISPONIVEL
10069;VARETA FREIO TRAS CB300/CBX250;VARETA FREIO TRAS CB300/CBX250;FREIO;NÃO IDENTIFICADO;CB300 / CBX250;10.28;7;14;ESTOQUE BAIXO
10073;PEDALEIRA TRAS LD NX400 PT;PEDALEIRA TRAS LD NX400 PT;PEDAIS/COMANDOS;NÃO IDENTIFICADO;NÃO IDENTIFICADO;11.66;74;19;DISPONIVEL
10074;PEDALEIRA TRAS LE NX400 PT;PEDALEIRA TRAS LE NX400 PT;PEDAIS/COMANDOS;NÃO IDENTIFICADO;NÃO IDENTIFICADO;12.69;24;18;DISPONIVEL
10140;PORCA COL DIR ABERTA TITAN150;PORCA COL DIR ABERTA TITAN150;OUTROS;NÃO IDENTIFICADO;TITAN150;5.66;35;17;DISPONIVEL
10155;MANOPLA TITAN125 95-99 138MM PT;MANOPLA TITAN125 95-99 138MM PT;PEDAIS/COMANDOS;NÃO IDENTIFICADO;TITAN125;5.66;59;8;DISPONIVEL
10156;MANOPLA TITAN125 00 138MM PT;MANOPLA TITAN125 00 138MM PT;PEDAIS/COMANDOS;NÃO IDENTIFICADO;TITAN125;5.21;44;18;DISPONIVEL
10199;PISTAO C/ANEIS CBX/XR250 STD;PISTAO C/ANEIS CBX/XR250 STD;MOTOR;NÃO IDENTIFICADO;NÃO IDENTIFICADO;90.21;98;17;DISPONIVEL
10200;PISTAO C/ANEIS CBX/XR250 0,25;PISTAO C/ANEIS CBX/XR250 0,25;MOTOR;NÃO IDENTIFICADO;NÃO IDENTIFICADO;90.48;35;11;DISPONIVEL
10201;PISTAO C/ANEIS CBX/XR250 0,50;PISTAO C/ANEIS CBX/XR250 0,50;MOTOR;NÃO IDENTIFICADO;NÃO IDENTIFICADO;90.21;96;15;DISPONIVEL
10202;PISTAO C/ANEIS CBX/XR250 0,75;PISTAO C/ANEIS CBX/XR250 0,75;MOTOR;NÃO IDENTIFICADO;NÃO IDENTIFICADO;90.21;45;18;DISPONIVEL
10206;PASTILHA DIANT LANDER250/YES125 942;PASTILHA DIANT LANDER250/YES125 942;FREIO;NÃO IDENTIFICADO;LANDER250 / YES125;13.05;20;4;DISPONIVEL
10207;PASTILHA TRAS NX400/XRE300 S/ABS 943;PASTILHA TRAS NX400/XRE300 S/ABS 943;FREIO;NÃO IDENTIFICADO;XRE300;12.44;53;4;DISPONIVEL
10233;RETENTOR HASTE VALV BIZ/TITAN125-150;RETENTOR HASTE VALV BIZ/TITAN125-150;OUTROS;NÃO IDENTIFICADO;TITAN125;11.28;10;11;ESTOQUE BAIXO
1034;JOGO JUNTA XLX350 C/TPA CABECOTE;JOGO JUNTA XLX350 C/TPA CABECOTE;MOTOR;NÃO IDENTIFICADO;NÃO IDENTIFICADO;49.96;52;19;DISPONIVEL
10359;PEDAL APOIO DIANT TITAN125 99;PEDAL APOIO DIANT TITAN125 99;PEDAIS/COMANDOS;NÃO IDENTIFICADO;TITAN125;26.81;49;14;DISPONIVEL
10361;PEDAL APOIO DIANT TITAN150 08;PEDAL APOIO DIANT TITAN150 08;PEDAIS/COMANDOS;NÃO IDENTIFICADO;TITAN150;31.05;22;20;DISPONIVEL
10402;CHAPINHA ESTICADOR CORRENTE CBX250 01;CHAPINHA ESTICADOR CORRENTE CBX250 01;RELAÇÃO/TRANSMISSÃO;NÃO IDENTIFICADO;CBX250;1.58;73;13;DISPONIVEL
10403;CHAPINHA ESTICADOR CORRENTE CBX200 89;CHAPINHA ESTICADOR CORRENTE CBX200 89;RELAÇÃO/TRANSMISSÃO;NÃO IDENTIFICADO;CBX200;1.61;93;13;DISPONIVEL
10415;CAMISA CILINDRO CBX250;CAMISA CILINDRO CBX250;MOTOR;NÃO IDENTIFICADO;CBX250;83.81;85;14;DISPONIVEL
10416;ACIONADOR CORR COM FAZER250/XT225;ACIONADOR CORR COM FAZER250/XT225;OUTROS;NÃO IDENTIFICADO;FAZER250;46.35;5;17;ESTOQUE BAIXO
10417;BLOCO OPTICO BIZ125 06-10;BLOCO OPTICO BIZ125 06-10;ELÉTRICA;NÃO IDENTIFICADO;BIZ125;26.06;60;20;DISPONIVEL
10420;GUIA VALVULA ADM/ESC TITAN150-160;GUIA VALVULA ADM/ESC TITAN150-160;MOTOR;NÃO IDENTIFICADO;TITAN150;10.95;82;10;DISPONIVEL
10421;GUIA VALVULA ADM/ESC CBX/XR250;GUIA VALVULA ADM/ESC CBX/XR250;MOTOR;NÃO IDENTIFICADO;NÃO IDENTIFICADO;8.69;51;5;DISPONIVEL
10591;PARAFUSO PASTILHA TITAN125ES;PARAFUSO PASTILHA TITAN125ES;FREIO;NÃO IDENTIFICADO;NÃO IDENTIFICADO;4.01;18;7;DISPONIVEL
10592;PARAFUSO PASTILHA TITAN150ESD;PARAFUSO PASTILHA TITAN150ESD;FREIO;NÃO IDENTIFICADO;NÃO IDENTIFICADO;4.01;63;16;DISPONIVEL
10597;CARCACA PAINEL SUP INTERM TITAN150;CARCACA PAINEL SUP INTERM TITAN150;OUTROS;NÃO IDENTIFICADO;TITAN150;9.14;85;19;DISPONIVEL
10598;CARCACA PAINEL INF TITAN150ES-KS 05-08;CARCACA PAINEL INF TITAN150ES-KS 05-08;OUTROS;NÃO IDENTIFICADO;NÃO IDENTIFICADO;5.26;84;18;DISPONIVEL
10608;RETENTOR HASTE EMBREAG CG/TITAN125/XT660;RETENTOR HASTE EMBREAG CG/TITAN125/XT660;OUTROS;NÃO IDENTIFICADO;TITAN125;7.31;43;12;DISPONIVEL
10620;PASTILHA DIANT HORNET600/SHADOW750 930;PASTILHA DIANT HORNET600/SHADOW750 930;FREIO;NÃO IDENTIFICADO;NÃO IDENTIFICADO;39.88;97;20;DISPONIVEL
10625;BAGAGEIRO REF TITAN125 00-04 CR;BAGAGEIRO REF TITAN125 00-04 CR;ACESSÓRIO;NÃO IDENTIFICADO;TITAN125;83.83;80;9;DISPONIVEL
10626;BAGAGEIRO REF TITAN150 05-08 CR;BAGAGEIRO REF TITAN150 05-08 CR;ACESSÓRIO;NÃO IDENTIFICADO;TITAN150;83.61;91;15;DISPONIVEL
10628;BAGAGEIRO REF CBX250 05 CR;BAGAGEIRO REF CBX250 05 CR;ACESSÓRIO;NÃO IDENTIFICADO;CBX250;75.77;11;10;DISPONIVEL
10634;ESCAPE TITAN125KS 00-04 CR;ESCAPE TITAN125KS 00-04 CR;ESCAPAMENTO;NÃO IDENTIFICADO;NÃO IDENTIFICADO;144.62;33;12;DISPONIVEL
10692;RETENTOR HASTE EMBREAG TITAN150-160;RETENTOR HASTE EMBREAG TITAN150-160;OUTROS;NÃO IDENTIFICADO;TITAN150;7.24;64;8;DISPONIVEL
10693;RETENTOR PARTIDA TITAN150;RETENTOR PARTIDA TITAN150;OUTROS;NÃO IDENTIFICADO;TITAN150;7.94;51;8;DISPONIVEL
10710;GUIA VALVULA ADM/ESC NX400/XLX250-350;GUIA VALVULA ADM/ESC NX400/XLX250-350;MOTOR;NÃO IDENTIFICADO;NÃO IDENTIFICADO;21.59;27;13;DISPONIVEL
10711;GUIA VALVULA ADM CB400-450/CBX200;GUIA VALVULA ADM CB400-450/CBX200;MOTOR;NÃO IDENTIFICADO;CB400 / CBX200;23.44;62;20;DISPONIVEL
10713;GUIA VALVULA ADM/ESC TITAN125 99;GUIA VALVULA ADM/ESC TITAN125 99;MOTOR;NÃO IDENTIFICADO;TITAN125;16.43;37;9;DISPONIVEL
10714;GUIA VALVULA ADM BIZ100 11;GUIA VALVULA ADM BIZ100 11;MOTOR;NÃO IDENTIFICADO;BIZ100;17.01;99;12;DISPONIVEL
10715;GUIA VALVULA ESC BIZ100;GUIA VALVULA ESC BIZ100;MOTOR;NÃO IDENTIFICADO;BIZ100;17.05;49;11;DISPONIVEL
10716;GUIA VALVULA ESC TITAN125 02;GUIA VALVULA ESC TITAN125 02;MOTOR;NÃO IDENTIFICADO;TITAN125;16.00;65;19;DISPONIVEL
10718;GUIA VALVULA ADM TITAN125 02;GUIA VALVULA ADM TITAN125 02;MOTOR;NÃO IDENTIFICADO;TITAN125;18.84;100;13;DISPONIVEL
10905;VALVULA ADMISSAO CB300/CBX/XR250;VALVULA ADMISSAO CB300/CBX/XR250;MOTOR;NÃO IDENTIFICADO;CB300;14.62;66;17;DISPONIVEL
10909;VALVULA ADMISSAO XTZ/YBR125;VALVULA ADMISSAO XTZ/YBR125;MOTOR;NÃO IDENTIFICADO;YBR125;21.41;82;5;DISPONIVEL
10946;BUCHA COROA CG/TITAN125 BORR NYLON;BUCHA COROA CG/TITAN125 BORR NYLON;RELAÇÃO/TRANSMISSÃO;NÃO IDENTIFICADO;TITAN125;1.82;37;14;DISPONIVEL
10948;COLETOR ADMISSAO NX400;COLETOR ADMISSAO NX400;OUTROS;NÃO IDENTIFICADO;NÃO IDENTIFICADO;33.41;11;8;DISPONIVEL
10949;COLETOR ADMISSAO FAZER250;COLETOR ADMISSAO FAZER250;OUTROS;NÃO IDENTIFICADO;FAZER250;38.92;94;15;DISPONIVEL
10952;COLETOR ADMISSAO C/CATAL MAX125;COLETOR ADMISSAO C/CATAL MAX125;OUTROS;NÃO IDENTIFICADO;NÃO IDENTIFICADO;24.58;100;17;DISPONIVEL
10961;EIXO RODA DIANT CBX250;EIXO RODA DIANT CBX250;PNEU/RODA;NÃO IDENTIFICADO;CBX250;37.44;1;4;ESTOQUE BAIXO
10962;EIXO RODA DIANT BROS125/150;EIXO RODA DIANT BROS125/150;PNEU/RODA;NÃO IDENTIFICADO;BROS125;12.62;91;10;DISPONIVEL
10963;EIXO RODA DIANT TITAN150;EIXO RODA DIANT TITAN150;PNEU/RODA;NÃO IDENTIFICADO;TITAN150;13.40;87;5;DISPONIVEL
10965;EIXO RODA TRAS CBX250;EIXO RODA TRAS CBX250;PNEU/RODA;NÃO IDENTIFICADO;CBX250;29.75;57;7;DISPONIVEL
10966;EIXO RODA TRAS BROS125/150;EIXO RODA TRAS BROS125/150;PNEU/RODA;NÃO IDENTIFICADO;BROS125;27.26;82;17;DISPONIVEL
10992;MANOPLA CIRCUIT IV C/ARAME INOX TODAS PT;MANOPLA CIRCUIT IV C/ARAME INOX TODAS PT;PEDAIS/COMANDOS;NÃO IDENTIFICADO;NÃO IDENTIFICADO;32.47;28;7;DISPONIVEL
11018;CACHIMBO VELA BIZ100-125 98 ND05FTK;CACHIMBO VELA BIZ100-125 98 ND05FTK;OUTROS;NÃO IDENTIFICADO;BIZ100;14.32;2;19;ESTOQUE BAIXO
11025;CACHIMBO VELA CG/ML/TURUNA/YBR125 LD05EP;CACHIMBO VELA CG/ML/TURUNA/YBR125 LD05EP;OUTROS;NÃO IDENTIFICADO;YBR125;14.69;100;19;DISPONIVEL
11035;JUNTA TAMPA LAT PART LE BIZ100/DREAM;JUNTA TAMPA LAT PART LE BIZ100/DREAM;MOTOR;NÃO IDENTIFICADO;BIZ100;3.98;46;15;DISPONIVEL
11193;VALVULA ADMISSAO TITAN125 02-04;VALVULA ADMISSAO TITAN125 02-04;MOTOR;NÃO IDENTIFICADO;TITAN125;19.55;59;16;DISPONIVEL
11200;VALVULA ESCAPE XTZ/YBR125;VALVULA ESCAPE XTZ/YBR125;MOTOR;NÃO IDENTIFICADO;YBR125;25.18;25;5;DISPONIVEL
11256;PEDAL FREIO BIZ125 11-17 CR;PEDAL FREIO BIZ125 11-17 CR;FREIO;NÃO IDENTIFICADO;BIZ125;45.62;58;12;DISPONIVEL
11268;GUIA VALVULA ADM XTZ/YBR125;GUIA VALVULA ADM XTZ/YBR125;MOTOR;NÃO IDENTIFICADO;YBR125;10.57;8;19;ESTOQUE BAIXO
11269;GUIA VALVULA ESC XTZ/YBR125;GUIA VALVULA ESC XTZ/YBR125;MOTOR;NÃO IDENTIFICADO;YBR125;10.45;83;9;DISPONIVEL
11270;GUIA VALVULA ADM/ESC FAZER250/XTZ225;GUIA VALVULA ADM/ESC FAZER250/XTZ225;MOTOR;NÃO IDENTIFICADO;FAZER250 / XTZ225;13.70;44;10;DISPONIVEL
11457;CARCACA FAROL CBX250 06-07;CARCACA FAROL CBX250 06-07;ELÉTRICA;NÃO IDENTIFICADO;CBX250;8.20;21;19;DISPONIVEL
11458;CARCACA FAROL YES125 04-17;CARCACA FAROL YES125 04-17;ELÉTRICA;NÃO IDENTIFICADO;YES125;9.28;53;7;DISPONIVEL
11461;LANTERNA TRAS LANDER250;LANTERNA TRAS LANDER250;OUTROS;NÃO IDENTIFICADO;LANDER250;26.94;8;8;ESTOQUE BAIXO
11462;PISCA FAZER/LANDER250 LENTE FUME QP AM;PISCA FAZER/LANDER250 LENTE FUME QP AM;ELÉTRICA;NÃO IDENTIFICADO;LANDER250;11.34;74;18;DISPONIVEL
11463;PISCA FAZER/LANDER250 LENTE AM;PISCA FAZER/LANDER250 LENTE AM;ELÉTRICA;NÃO IDENTIFICADO;LANDER250;11.34;76;14;DISPONIVEL
11464;LENTE LANT TRAS LANDER250 07 VM;LENTE LANT TRAS LANDER250 07 VM;OUTROS;NÃO IDENTIFICADO;LANDER250;11.44;99;20;DISPONIVEL
11465;LENTE PISCA FAZER/LANDER250 AM;LENTE PISCA FAZER/LANDER250 AM;ELÉTRICA;NÃO IDENTIFICADO;LANDER250;3.20;26;4;DISPONIVEL
11494;FILTRO AR TITAN150 04-08;FILTRO AR TITAN150 04-08;FILTRO;NÃO IDENTIFICADO;TITAN150;8.03;84;8;DISPONIVEL
11495;FILTRO AR BIZ125 10;FILTRO AR BIZ125 10;FILTRO;NÃO IDENTIFICADO;BIZ125;7.25;45;9;DISPONIVEL
11496;FILTRO AR BROS125-150/FAN150/POP100 09;FILTRO AR BROS125-150/FAN150/POP100 09;FILTRO;NÃO IDENTIFICADO;FAN150 / POP100 / BROS125;4.39;28;7;DISPONIVEL
11497;FILTRO AR XR250;FILTRO AR XR250;FILTRO;NÃO IDENTIFICADO;NÃO IDENTIFICADO;15.98;93;5;DISPONIVEL
1156;COLETOR ADMISSAO CB400-450;COLETOR ADMISSAO CB400-450;OUTROS;NÃO IDENTIFICADO;CB400;22.35;48;16;DISPONIVEL
11629;DESCANSO LAT C/BORRACHA BROS125-150;DESCANSO LAT C/BORRACHA BROS125-150;OUTROS;NÃO IDENTIFICADO;BROS125;24.65;6;15;ESTOQUE BAIXO
11669;COLETOR ADMISSAO FAN/TITAN125 02-05;COLETOR ADMISSAO FAN/TITAN125 02-05;OUTROS;NÃO IDENTIFICADO;TITAN125;18.32;91;7;DISPONIVEL
11670;COLETOR ADMISSAO C/CATAL FAN125 06-08;COLETOR ADMISSAO C/CATAL FAN125 06-08;OUTROS;NÃO IDENTIFICADO;FAN125;19.16;77;15;DISPONIVEL
11671;COLETOR ADMISSAO MAX125;COLETOR ADMISSAO MAX125;OUTROS;NÃO IDENTIFICADO;NÃO IDENTIFICADO;24.58;56;14;DISPONIVEL
11709;GUARNICAO ESCAPE HORNET600;GUARNICAO ESCAPE HORNET600;ESCAPAMENTO;NÃO IDENTIFICADO;NÃO IDENTIFICADO;8.91;57;7;DISPONIVEL
11711;GUARNICAO ESCAPE XT660R;GUARNICAO ESCAPE XT660R;ESCAPAMENTO;NÃO IDENTIFICADO;NÃO IDENTIFICADO;7.29;88;13;DISPONIVEL
11712;GUARNICAO ESCAPE LANDER250;GUARNICAO ESCAPE LANDER250;ESCAPAMENTO;NÃO IDENTIFICADO;LANDER250;7.32;77;19;DISPONIVEL
11714;FILTRO AR LANDER250 SO ESPUMA;FILTRO AR LANDER250 SO ESPUMA;FILTRO;NÃO IDENTIFICADO;LANDER250;8.43;37;8;DISPONIVEL
11715;FILTRO AR FAZER250 SO ESPUMA;FILTRO AR FAZER250 SO ESPUMA;FILTRO;NÃO IDENTIFICADO;FAZER250;8.43;63;9;DISPONIVEL
11716;FILTRO AR INTRUDER/YES125 SO ESPUMA;FILTRO AR INTRUDER/YES125 SO ESPUMA;FILTRO;NÃO IDENTIFICADO;YES125;9.96;45;16;DISPONIVEL
11825;CARCACA FAROL REDONDA TITAN150 05-08;CARCACA FAROL REDONDA TITAN150 05-08;ELÉTRICA;NÃO IDENTIFICADO;TITAN150;5.03;56;13;DISPONIVEL
11827;GUIA VALVULA ADM/ESC TITAN125 99 +0.20MM;GUIA VALVULA ADM/ESC TITAN125 99 +0.20MM;MOTOR;NÃO IDENTIFICADO;TITAN125;16.74;96;19;DISPONIVEL
11828;GUIA VALVULA ADM/ESC TITAN125 99 +0.50MM;GUIA VALVULA ADM/ESC TITAN125 99 +0.50MM;MOTOR;NÃO IDENTIFICADO;TITAN125;16.80;60;20;DISPONIVEL
11829;GUIA VALVULA ADM/ESC TITAN150 +0.10MM;GUIA VALVULA ADM/ESC TITAN150 +0.10MM;MOTOR;NÃO IDENTIFICADO;TITAN150;11.01;96;3;DISPONIVEL
11830;GUIA VALVULA ESC TITAN125 02 +0.05MM;GUIA VALVULA ESC TITAN125 02 +0.05MM;MOTOR;NÃO IDENTIFICADO;TITAN125;15.35;57;18;DISPONIVEL
11831;GUIA VALVULA ESC TITAN125 02 +0.10MM;GUIA VALVULA ESC TITAN125 02 +0.10MM;MOTOR;NÃO IDENTIFICADO;TITAN125;15.62;5;12;ESTOQUE BAIXO
11832;GUIA VALVULA ADM TITAN125 02 +0.05MM;GUIA VALVULA ADM TITAN125 02 +0.05MM;MOTOR;NÃO IDENTIFICADO;TITAN125;18.38;67;10;DISPONIVEL
11833;GUIA VALVULA ADM TITAN125 02 +0.10MM;GUIA VALVULA ADM TITAN125 02 +0.10MM;MOTOR;NÃO IDENTIFICADO;TITAN125;18.84;23;19;DISPONIVEL
11850;LENTE LANT TRAS TITAN150 08 CRIST;LENTE LANT TRAS TITAN150 08 CRIST;OUTROS;NÃO IDENTIFICADO;TITAN150;8.26;88;8;DISPONIVEL
11912;MANETE CURTO LD CG/TITAN150KS 92-94 PT;MANETE CURTO LD CG/TITAN150KS 92-94 PT;PEDAIS/COMANDOS;NÃO IDENTIFICADO;NÃO IDENTIFICADO;7.31;78;10;DISPONIVEL
11913;MANETE CURTO LE CG/TITAN150KS 92-94 PT;MANETE CURTO LE CG/TITAN150KS 92-94 PT;PEDAIS/COMANDOS;NÃO IDENTIFICADO;NÃO IDENTIFICADO;7.31;42;14;DISPONIVEL
11914;MANETE CURTO LD CB300/CBX200-250 PT;MANETE CURTO LD CB300/CBX200-250 PT;PEDAIS/COMANDOS;NÃO IDENTIFICADO;CB300 / CBX200;7.31;66;18;DISPONIVEL
11919;MANETE CURTO LE CB300/CBX200-250 PT;MANETE CURTO LE CB300/CBX200-250 PT;PEDAIS/COMANDOS;NÃO IDENTIFICADO;CB300 / CBX200;7.31;78;16;DISPONIVEL
11922;MANETE CURTO LD CG/TITAN150KS 92-94 POL;MANETE CURTO LD CG/TITAN150KS 92-94 POL;PEDAIS/COMANDOS;NÃO IDENTIFICADO;NÃO IDENTIFICADO;8.42;63;8;DISPONIVEL
11933;MANETE CURTO LE CG/TITAN150KS 92-94 CR;MANETE CURTO LE CG/TITAN150KS 92-94 CR;PEDAIS/COMANDOS;NÃO IDENTIFICADO;NÃO IDENTIFICADO;13.16;52;4;DISPONIVEL
11935;MANETE CURTO LE CB300/CBX200-250 CR;MANETE CURTO LE CB300/CBX200-250 CR;PEDAIS/COMANDOS;NÃO IDENTIFICADO;CB300 / CBX200;13.16;94;9;DISPONIVEL
11938;MANETE CURTO LD TODAY/XLR125/XLS/XLX CR;MANETE CURTO LD TODAY/XLR125/XLS/XLX CR;PEDAIS/COMANDOS;NÃO IDENTIFICADO;NÃO IDENTIFICADO;13.16;90;12;DISPONIVEL
11940;MANETE CURTO LD BROS/NX150/XRE300 CR;MANETE CURTO LD BROS/NX150/XRE300 CR;PEDAIS/COMANDOS;NÃO IDENTIFICADO;XRE300;13.16;16;18;ESTOQUE BAIXO
11941;MANETE CURTO LE BROS/NX150/XRE300 CR;MANETE CURTO LE BROS/NX150/XRE300 CR;PEDAIS/COMANDOS;NÃO IDENTIFICADO;XRE300;13.16;15;3;DISPONIVEL
11971;TUBO CONDUTOR AR SAI DO FILTRO TITAN150;TUBO CONDUTOR AR SAI DO FILTRO TITAN150;FILTRO;NÃO IDENTIFICADO;TITAN150;11.72;65;14;DISPONIVEL
11974;CARCACA FAROL HUNTER90-100 05;CARCACA FAROL HUNTER90-100 05;ELÉTRICA;NÃO IDENTIFICADO;NÃO IDENTIFICADO;3.06;4;6;ESTOQUE BAIXO
11978;COLETOR ADMISSAO C/CATAL TITAN150 04-08;COLETOR ADMISSAO C/CATAL TITAN150 04-08;OUTROS;NÃO IDENTIFICADO;TITAN150;19.16;62;10;DISPONIVEL
12;GUARNICAO ESCAPE XLX250-350;GUARNICAO ESCAPE XLX250-350;ESCAPAMENTO;NÃO IDENTIFICADO;NÃO IDENTIFICADO;9.13;86;7;DISPONIVEL
12001;AGULHA PISTONETE C/SEDE TITAN150 05-08;AGULHA PISTONETE C/SEDE TITAN150 05-08;MOTOR;NÃO IDENTIFICADO;TITAN150;8.43;27;13;DISPONIVEL
12002;AGULHA PISTONETE C/SEDE YBR125 03-04;AGULHA PISTONETE C/SEDE YBR125 03-04;MOTOR;NÃO IDENTIFICADO;YBR125;7.82;27;18;DISPONIVEL
12123;VALVULA ADMISSAO BROS/TITAN150 04;VALVULA ADMISSAO BROS/TITAN150 04;MOTOR;NÃO IDENTIFICADO;TITAN150;18.54;40;16;DISPONIVEL
12130;GUIDAO TITAN150 CR;GUIDAO TITAN150 CR;PEDAIS/COMANDOS;NÃO IDENTIFICADO;TITAN150;34.22;86;6;DISPONIVEL
12139;RETENTOR CAMBIO CB300/TITAN150-160;RETENTOR CAMBIO CB300/TITAN150-160;OUTROS;NÃO IDENTIFICADO;TITAN150 / CB300;5.63;16;8;DISPONIVEL
12146;BAGAGEIRO REF TITAN150 05-08 PT;BAGAGEIRO REF TITAN150 05-08 PT;ACESSÓRIO;NÃO IDENTIFICADO;TITAN150;70.51;63;15;DISPONIVEL
12152;GUIDAO BROS125-150 PT;GUIDAO BROS125-150 PT;PEDAIS/COMANDOS;NÃO IDENTIFICADO;BROS125;28.10;26;9;DISPONIVEL
12160;ESCAPE ESTRAL MOD TURUNA TITAN125KS-KSE;ESCAPE ESTRAL MOD TURUNA TITAN125KS-KSE;ESCAPAMENTO;NÃO IDENTIFICADO;NÃO IDENTIFICADO;172.63;13;5;DISPONIVEL
12161;ESCAPE CBX250 01-08 CR;ESCAPE CBX250 01-08 CR;ESCAPAMENTO;NÃO IDENTIFICADO;CBX250;284.46;44;20;DISPONIVEL
12176;PISCA NX400 DE/TD LENTE AM;PISCA NX400 DE/TD LENTE AM;ELÉTRICA;NÃO IDENTIFICADO;NÃO IDENTIFICADO;14.93;20;6;DISPONIVEL
12177;GUIDAO XR250 PT;GUIDAO XR250 PT;PEDAIS/COMANDOS;NÃO IDENTIFICADO;NÃO IDENTIFICADO;42.85;96;4;DISPONIVEL
12194;BAGAGEIRO REF FAZER250 06-17 PT;BAGAGEIRO REF FAZER250 06-17 PT;ACESSÓRIO;NÃO IDENTIFICADO;FAZER250;59.27;58;16;DISPONIVEL
12217;KIT CILINDRO MOTOR TITAN125/TODAY 99;KIT CILINDRO MOTOR TITAN125/TODAY 99;MOTOR;NÃO IDENTIFICADO;TITAN125;187.34;31;12;DISPONIVEL
12218;KIT CILINDRO MOTOR TITAN125 02-04;KIT CILINDRO MOTOR TITAN125 02-04;MOTOR;NÃO IDENTIFICADO;TITAN125;165.32;13;11;DISPONIVEL
12269;FILTRO OLEO INTRUDER/KATANA/YES125 00;FILTRO OLEO INTRUDER/KATANA/YES125 00;ÓLEO/LUBRIFICANTE;NÃO IDENTIFICADO;YES125;6.72;82;15;DISPONIVEL
12295;BLOCO OPTICO YES125 04-17;BLOCO OPTICO YES125 04-17;ELÉTRICA;NÃO IDENTIFICADO;YES125;24.18;73;12;DISPONIVEL
12296;CARCACA PAINEL INF FAZER250 05-10;CARCACA PAINEL INF FAZER250 05-10;OUTROS;NÃO IDENTIFICADO;FAZER250;12.53;66;9;DISPONIVEL
12299;LENTE PISCA FAZER/LANDER250 FUME;LENTE PISCA FAZER/LANDER250 FUME;ELÉTRICA;NÃO IDENTIFICADO;LANDER250;3.20;7;14;ESTOQUE BAIXO
12333;RAIO TRAS TITAN125ES-KS ZC 36PC;RAIO TRAS TITAN125ES-KS ZC 36PC;PNEU/RODA;NÃO IDENTIFICADO;NÃO IDENTIFICADO;40.80;11;4;DISPONIVEL
12335;RAIO TRAS BROS125-150 ZC 36PC;RAIO TRAS BROS125-150 ZC 36PC;PNEU/RODA;NÃO IDENTIFICADO;BROS125;40.88;83;17;DISPONIVEL
12357;RAIO TRAS LANDER250 ZC 36PC;RAIO TRAS LANDER250 ZC 36PC;PNEU/RODA;NÃO IDENTIFICADO;LANDER250;40.83;45;6;DISPONIVEL
12362;FILTRO OLEO XT600/660;FILTRO OLEO XT600/660;ÓLEO/LUBRIFICANTE;NÃO IDENTIFICADO;NÃO IDENTIFICADO;18.91;95;3;DISPONIVEL
12363;FILTRO AR CBX250 02-08;FILTRO AR CBX250 02-08;FILTRO;NÃO IDENTIFICADO;CBX250;22.89;48;11;DISPONIVEL
12366;BAU GIVI POINT 33L PT C/LENTE VM;BAU GIVI POINT 33L PT C/LENTE VM;ACESSÓRIO;NÃO IDENTIFICADO;NÃO IDENTIFICADO;272.24;34;16;DISPONIVEL
12421;TUBO INT SUSP CG/FAN/TITAN125/TODAY;TUBO INT SUSP CG/FAN/TITAN125/TODAY;OUTROS;NÃO IDENTIFICADO;TITAN125;56.92;37;17;DISPONIVEL
