codigo_peca;descricao_original;nome_peca;categoria;marca_fabricante;modelo_moto;preco;quantidade_estoque;quantidade_minima;status
349010;GICLEUR TURUNA 79-81 Nº105 AGULHAS TOORK;GICLEUR TURUNA 79-81 Nº105 AGULHAS TOORK;OUTROS;AGULHAS TOORK;NÃO IDENTIFICADO;3.35;15;20;ESTOQUE BAIXO
349015;GICLEUR TITAN/ TODAY/ NX150 Nº108 AGULHAS TOORK;GICLEUR;OUTROS;AGULHAS TOORK;TITAN;3.25;88;18;DISPONIVEL
349020;GICLEUR CB400/CB450 Nº110 AGULHAS TOORK;GICLEUR CB400/CB450 Nº110 AGULHAS TOORK;OUTROS;AGULHAS TOORK;CB400 / CB450;3.25;89;13;DISPONIVEL
349025;GICLEUR XL-250/CBX150/CBR450 Nº115 AGULHAS TOORK;GICLEUR XL-250/CBX150/CBR450 Nº115 AGULHAS TOORK;OUTROS;AGULHAS TOORK;CBX150;3.25;87;12;DISPONIVEL
349028;PARAFUSO MARCHA LENTA TITAN 125/ TITAN 150 KS/ES AGULHAS TOORK;PARAFUSO MARCHA LENTA;OUTROS;AGULHAS TOORK;TITAN 125 / TITAN 150;6.95;15;18;ESTOQUE BAIXO
349029;PARAFUSO MARCHA LENTA TITAN 96-99/ TOD/ CG AGULHAS TOORK;PARAFUSO MARCHA LENTA;OUTROS;AGULHAS TOORK.;TITAN 96;6.27;0;7;SEM ESTOQUE
349030;GICLEUR CBX200 Nº120 AGULHAS TOORK;GICLEUR CBX200 Nº120 AGULHAS TOORK;OUTROS;AGULHAS TOORK;CBX200;3.25;50;3;DISPONIVEL
349035;GICLEUR NX 200/ XR/ XLX250 Nº125 AGULHAS TOORK;GICLEUR NX 200/ XR/ XLX250 Nº125 AGULHAS TOORK;OUTROS;AGULHAS TOORK;NÃO IDENTIFICADO;3.25;69;10;DISPONIVEL
349036;GICLEUR TITAN 150/ CBX 750 86 EM D Nº118 AGULHAS TOORK;GICLEUR;OUTROS;AGULHAS TOORK;TITAN 150 / CBX 750;3.25;0;15;SEM ESTOQUE
349038;GICLEUR TWISTER 250/ TORN 250 Nº150 AGULHAS TOORK;GICLEUR;OUTROS;AGULHAS TOORK;TWISTER 250;3.40;45;13;DISPONIVEL
349065;GICLEUR M. LENTA TITAN 00 KS/ES CBX/XLR Nº40 AGULHAS TOORK;GICLEUR M. LENTA;OUTROS;AGULHAS TOORK;TITAN 00;6.31;51;5;DISPONIVEL
349091;GICLEUR CB 450/ SAHARA/ XLX Nº 48 -AGULHAS TOO AGULHAS TOORK;GICLEUR;OUTROS;AGULHAS TOORK;CB 450;6.31;34;7;DISPONIVEL
349102;AGULHA BOIA C/SEDE YES 125 11... AGULHAS TOORK;AGULHA BOIA C/SEDE;OUTROS;AGULHAS TOORK;YES 125;10.60;51;20;DISPONIVEL
349105;PARAFUSO REG AR YBR 125 02-06 AGULHAS TOORK;PARAFUSO REG AR;OUTROS;AGULHAS TOORK;YBR 125;5.39;55;18;DISPONIVEL
349119;AGULHA PISTONETE C/SEDE TWISTER 250/ TORN AGULHAS TOORK;AGULHA PISTONETE C/SEDE;MOTOR;AGULHAS TOORK;TWISTER 250;7.59;56;9;DISPONIVEL
349128;GICLEUR BROS 150 Nº102 AGULHAS TOORK;GICLEUR;OUTROS;AGULHAS TOORK;BROS 150;3.25;4;15;ESTOQUE BAIXO
349129;GICLEUR XR/NX 200/CBX 750 Nº112 AGULHAS TOORK;GICLEUR XR/NX 200/CBX 750 Nº112 AGULHAS TOORK;OUTROS;AGULHAS TOORK;CBX 750;3.40;51;4;DISPONIVEL
349130;GICLEUR FALCON 400 00-02 Nº148 AGULHAS TOORK;GICLEUR;OUTROS;AGULHAS TOORK;FALCON 400;3.40;61;16;DISPONIVEL
349133;GICLEUR YBR 125 03-06/ YES 125 06-10 Nº100 AGULHAS TOORK;GICLEUR;OUTROS;AGULHAS TOORK;YBR 125 / YES 125;4.37;80;5;DISPONIVEL
349142;DIAFRAGMA CARBUR INT YES 125 06... AGULHAS TOORK;DIAFRAGMA CARBUR INT;OUTROS;AGULHAS TOORK.;YES 125;9.31;42;5;DISPONIVEL
350003;GUARNICAO TAMPA VALV TITAN 125 86-08/ BROS125 VEDA;GUARNICAO TAMPA VALV;OUTROS;VEDAMOTORS;TITAN 125 / BROS125;2.22;42;17;DISPONIVEL
350004;GUARNICAO TAMPA VALV TITAN 150 04-15/ CRF150 VEDA;GUARNICAO TAMPA VALV;OUTROS;VEDAMOTORS;TITAN 150;3.06;62;19;DISPONIVEL
350007;GUARNICAO TAMPA VALV TWISTER 250/ TORN 250 01-08 KIT VEDA;GUARNICAO TAMPA VALV;OUTROS;VEDAMOTORS;TWISTER 250;24.50;12;10;DISPONIVEL
350008;GUARNICAO TAMPA VALV TITAN 150 04-15/ CRF150 KIT VEDA;GUARNICAO TAMPA VALV;OUTROS;VEDAMOTORS;TITAN 150;7.55;94;4;DISPONIVEL
350009;GUARNICAO TAMPA VALV CB 300/ XRE 300 KIT VEDA;GUARNICAO TAMPA VALV;OUTROS;VEDAMOTORS;XRE 300 / CB 300;26.70;30;9;DISPONIVEL
350011;GUARNICAO TAMPA VALV FACTOR/ FAZER/ CROSSER 150 VEDA;GUARNICAO TAMPA VALV;OUTROS;VEDAMOTORS;CROSSER 150;3.94;24;6;DISPONIVEL
350015;GUARNICAO TAMPA FILTRO OLEO EX CB400 VALFLEX;GUARNICAO TAMPA FILTRO OLEO EX CB400 VALFLEX;ÓLEO/LUBRIFICANTE;VALFLEX;CB400;3.86;78;5;DISPONIVEL
